/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[ablate] mode=fixed_tau seed=24 dataset=bitcoinotc task=classification
/nas/home/jahin/.local/lib/python3.10/site-packages/torch/cuda/__init__.py:654: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")
[KAIROS] Using device: cuda:0 (NVIDIA RTX A6000)
[KAIROS] Classification task → λ_koop overridden to 0.0
[KAIROS] Small graph (5881 nodes) → full-neighbour training sampler

Training 25 epochs | 3 views | λ_koop=0.0 | PPR α=0.15

/nas/home/jahin/.local/lib/python3.10/site-packages/dgl/dataloading/dataloader.py:1144: DGLWarning: Dataloader CPU affinity opt is not enabled, consider switching it on (see enable_cpu_affinity() or CPU best practices for DGL [https://docs.dgl.ai/tutorials/cpu/cpu_best_practises.html])
  dgl_warning(
Epoch 00000 | NCE 40.4380 | KOOP 0.0000 | τ 1.0000 | Total 40.4380
Epoch 00001 | NCE 39.4742 | KOOP 0.0000 | τ 1.0000 | Total 39.4742
Epoch 00002 | NCE 38.4587 | KOOP 0.0000 | τ 1.0000 | Total 38.4587
Epoch 00003 | NCE 37.5598 | KOOP 0.0000 | τ 1.0000 | Total 37.5598
Epoch 00004 | NCE 37.0581 | KOOP 0.0000 | τ 1.0000 | Total 37.0581
Epoch 00005 | NCE 36.6684 | KOOP 0.0000 | τ 1.0000 | Total 36.6684
Epoch 00006 | NCE 36.0820 | KOOP 0.0000 | τ 1.0000 | Total 36.0820
Epoch 00007 | NCE 35.8940 | KOOP 0.0000 | τ 1.0000 | Total 35.8940
Epoch 00008 | NCE 35.7988 | KOOP 0.0000 | τ 1.0000 | Total 35.7988
Epoch 00009 | NCE 35.8909 | KOOP 0.0000 | τ 1.0000 | Total 35.8909
Epoch 00010 | NCE 35.6537 | KOOP 0.0000 | τ 1.0000 | Total 35.6537
Epoch 00011 | NCE 35.7804 | KOOP 0.0000 | τ 1.0000 | Total 35.7804
Epoch 00012 | NCE 35.7085 | KOOP 0.0000 | τ 1.0000 | Total 35.7085
Epoch 00013 | NCE 35.6793 | KOOP 0.0000 | τ 1.0000 | Total 35.6793
Epoch 00014 | NCE 35.6638 | KOOP 0.0000 | τ 1.0000 | Total 35.6638
Epoch 00015 | NCE 35.6313 | KOOP 0.0000 | τ 1.0000 | Total 35.6313
Epoch 00016 | NCE 35.5863 | KOOP 0.0000 | τ 1.0000 | Total 35.5863
Epoch 00017 | NCE 35.6358 | KOOP 0.0000 | τ 1.0000 | Total 35.6358
Epoch 00018 | NCE 35.6698 | KOOP 0.0000 | τ 1.0000 | Total 35.6698
Epoch 00019 | NCE 35.5851 | KOOP 0.0000 | τ 1.0000 | Total 35.5851
Epoch 00020 | NCE 35.3781 | KOOP 0.0000 | τ 1.0000 | Total 35.3781
Epoch 00021 | NCE 35.5718 | KOOP 0.0000 | τ 1.0000 | Total 35.5718
Epoch 00022 | NCE 35.5653 | KOOP 0.0000 | τ 1.0000 | Total 35.5653
Epoch 00023 | NCE 35.3974 | KOOP 0.0000 | τ 1.0000 | Total 35.3974
Epoch 00024 | NCE 35.5913 | KOOP 0.0000 | τ 1.0000 | Total 35.5913
  LinEval    0 | train 0.4634 | val 0.4830 | micro 0.4785 | wei 0.4320
  LinEval  500 | train 0.7087 | val 0.5408 | micro 0.5580 | wei 0.5572
  LinEval 1000 | train 0.7155 | val 0.5221 | micro 0.5487 | wei 0.5483
  LinEval 1500 | train 0.7155 | val 0.5187 | micro 0.5465 | wei 0.5464
  LinEval 1999 | train 0.7172 | val 0.5170 | micro 0.5459 | wei 0.5459
  LinEval    0 | train 0.2930 | val 0.3963 | micro 0.4099 | wei 0.4089
  LinEval  500 | train 0.7036 | val 0.5272 | micro 0.5576 | wei 0.5561
  LinEval 1000 | train 0.7155 | val 0.5221 | micro 0.5514 | wei 0.5511
  LinEval 1500 | train 0.7172 | val 0.5187 | micro 0.5480 | wei 0.5479
  LinEval 1999 | train 0.7155 | val 0.5187 | micro 0.5465 | wei 0.5464
  LinEval    0 | train 0.3322 | val 0.3997 | micro 0.3899 | wei 0.3970
